workerId,nanoTime,eventType
2,977943,call
7,999325,call
2,1498793,return
7,1535193,return
4,1686820,call
8,1689049,call
5,1749153,call
6,1812755,call
1,1891939,call
8,2009757,return
3,2065201,call
5,2126899,return
4,2181726,return
6,2275994,return
3,2644980,return
1,2687014,return
1,213055653,call
5,304053622,call
5,322054193,return
5,354051336,call
1,371899314,return
1,371928915,call
1,372122615,return
1,373041013,call
1,375936831,return
1,386038963,call
7,389052301,call
1,394946326,return
3,397059510,call
7,406039930,return
3,420489126,return
1,436054572,call
5,437664313,return
5,437693043,call
5,437858772,return
7,438045274,call
8,439057703,call
1,439322017,return
5,443034931,call
3,444054088,call
5,444590813,return
1,446038783,call
4,448032932,call
2,451037691,call
6,451045109,call
1,453793609,return
1,453821722,call
1,453980586,return
8,457228633,return
4,464928218,return
7,469455342,return
7,469484605,call
7,469651188,return
6,470472554,return
1,471051415,call
2,471409930,return
7,473033945,call
1,473258908,return
1,479044490,call
3,480458270,return
3,480487130,call
3,480643769,return
3,482023944,call
8,491034330,call
5,492045646,call
5,492604940,return
4,497032615,call
6,501038916,call
2,503049450,call
5,516044730,call
5,518941187,return
3,520278697,return
3,520307628,call
3,520470078,return
3,520505391,call
8,521584208,return
8,521614602,call
8,521776302,return
3,525466742,return
4,526842341,return
4,526872912,call
4,527032336,return
8,527041360,call
5,532026486,call
3,532055918,call
4,533038040,call
2,533110086,return
2,533139120,call
2,533299879,return
3,534016875,return
2,534025033,call
3,534057903,call
3,534307037,return
6,535023558,call
6,535260003,return
6,535289587,call
6,535447044,return
7,542887339,return
7,542915720,call
7,543073844,return
5,550997170,return
5,551025324,call
5,551197025,return
1,554164964,return
1,554192821,call
1,554350697,return
5,569038493,call
1,571037498,call
1,574040533,return
7,574046683,call
8,574110243,return
8,574138716,call
8,574319020,return
7,575355617,return
5,577211012,return
8,579035461,call
3,580039484,call
8,580265158,return
3,580574572,return
6,592671998,return
6,592718927,call
6,592912221,return
7,600027887,call
7,600625565,return
1,603045129,call
4,605146177,return
4,605197892,call
4,605487681,return
1,606026940,return
3,612037930,call
1,612044013,call
3,612807338,return
1,614210372,return
1,614237683,call
1,614399399,return
5,617023410,call
7,617036891,call
5,618688065,return
3,620042127,call
7,620738787,return
7,620780360,call
7,621048188,return
3,624107824,return
3,624138003,call
3,624298988,return
8,627032302,call
8,627593167,return
2,629000207,return
2,629027998,call
2,629182024,return
4,630031820,call
4,631004047,return
2,637046585,call
2,638779315,return
6,640051812,call
6,640751801,return
1,647040695,call
1,647988504,return
7,652032914,call
8,653022466,call
7,653089118,return
8,653509384,return
3,656032256,call
3,657126779,return
5,660029553,call
5,660974320,return
4,662021366,call
2,662023274,call
2,663371202,return
4,663550444,return
6,665044933,call
6,665743087,return
5,669031041,call
5,670006501,return
8,670026068,call
4,671034710,call
4,675014126,return
4,675059487,call
4,675309761,return
8,675550903,return
5,677021424,call
5,677786680,return
2,679025870,call
6,681045834,call
2,681508741,return
2,681534150,call
2,681721435,return
6,684808193,return
6,684833692,call
6,685016678,return
5,685031214,call
5,685591927,return
1,694041820,call
1,695857272,return
7,700039031,call
7,701741036,return
8,703034520,call
3,704031621,call
3,705797241,return
4,706028710,call
4,706945922,return
5,708042455,call
5,709409140,return
5,709433856,call
5,709597725,return
8,710572000,return
2,713026052,call
2,714005252,return
6,716026182,call
5,717022630,call
6,717115679,return
5,717585362,return
5,718033679,call
5,718423656,return
5,726032347,call
5,726442893,return
5,733023324,call
5,733561138,return
1,738025507,call
1,738744030,return
7,743025031,call
7,743956333,return
3,747024626,call
3,747976557,return
1,748031886,call
1,748829753,return
7,753021627,call
8,753028784,call
7,753815866,return
8,754837122,return
4,755029737,call
1,755030099,call
1,755783655,return
4,756565121,return
3,757022372,call
3,757896292,return
5,758037149,call
5,758494929,return
7,760023273,call
7,760839612,return
2,762027699,call
2,763767797,return
3,764025394,call
3,764809631,return
6,765027847,call
1,766037199,call
6,766864725,return
7,768021492,call
1,768424677,return
7,768598190,return
3,772033931,call
3,772534471,return
5,782024823,call
5,782530690,return
1,787033168,call
1,787898252,return
1,791022914,call
7,791025801,call
7,792039748,return
7,793021526,call
7,793494399,return
1,793727717,return
8,795030709,call
1,796021834,call
3,796024688,call
8,796171339,return
3,797911446,return
3,797957776,call
4,798039168,call
3,798275260,return
1,798465749,return
4,798929440,return
1,799021705,call
5,799036443,call
7,800027923,call
7,800610125,return
5,801472357,return
5,801498576,call
1,801528085,return
5,801674380,return
7,802024440,call
7,802628637,return
3,803039519,call
3,803980660,return
8,805024248,call
2,805033621,call
2,805896179,return
3,806025360,call
6,806029548,call
8,806135155,return
3,806497249,return
6,806960324,return
4,808022761,call
1,808022878,call
4,808840330,return
7,810024516,call
7,810478405,return
8,812026582,call
4,813024268,call
2,813028479,call
8,813172928,return
1,813622931,return
1,813648504,call
1,813801457,return
2,814008659,return
3,814021063,call
4,814280419,return
3,814465114,return
6,816030239,call
7,817023178,call
6,817160774,return
7,817624187,return
8,819028084,call
8,819685534,return
3,820022418,call
3,820572905,return
2,822053234,call
4,823034360,call
2,823128067,return
4,823684765,return
6,824033113,call
6,825522068,return
2,829024005,call
2,829686554,return
6,832033570,call
6,832678088,return
5,835026846,call
5,836140554,return
1,837030213,call
1,839717317,return
7,841024016,call
7,841577594,return
8,844028169,call
8,845493357,return
8,845518657,call
8,845716819,return
3,846024507,call
4,846036426,call
3,846509999,return
4,847089157,return
4,848033462,call
4,848507771,return
8,852033315,call
8,852566233,return
2,853028400,call
8,854023831,call
4,854024594,call
2,854334424,return
2,854360956,call
2,854523205,return
4,854575099,return
8,854655113,return
4,856023092,call
6,856037660,call
4,856637862,return
6,857599805,return
6,857625895,call
6,857789184,return
2,862025271,call
8,862026354,call
1,862034619,call
8,862599706,return
2,862906508,return
2,862932796,call
4,863037505,call
2,863110205,return
4,863801668,return
6,864023559,call
6,864779855,return
1,864804865,return
7,866024107,call
6,866036852,call
7,866514302,return
6,866873041,return
8,869035592,call
8,869545089,return
3,871022795,call
2,871025344,call
4,871026231,call
3,871507893,return
2,871526810,return
4,871608483,return
6,874031523,call
6,874570646,return
2,878023943,call
1,878044720,call
2,878527793,return
1,880225201,return
6,881023768,call
6,881493931,return
7,883024044,call
5,884028804,call
7,885025902,return
5,885097397,return
3,887045069,call
3,889212138,return
3,889250301,call
3,889423111,return
8,894035053,call
8,894580414,return
4,896023182,call
4,896590015,return
2,903039663,call
2,903616688,return
6,906034231,call
6,906773915,return
1,913029464,call
1,914040056,return
7,918037813,call
8,919022828,call
7,919210600,return
8,919542389,return
4,921028098,call
4,921516780,return
3,922023924,call
3,922906665,return
2,928035912,call
2,928531642,return
6,931047625,call
6,931748133,return
8,936023505,call
8,937928002,return
4,938032304,call
4,939849198,return
4,939873257,call
4,940030101,return
2,945026262,call
2,946990356,return
6,948035133,call
6,950183462,return
6,950208295,call
6,950359799,return
5,952022040,call
5,952947714,return
5,960023180,call
1,961025342,call
5,961068341,return
1,962243934,return
7,967045147,call
5,968021305,call
7,968239623,return
8,969022601,call
8,970295382,return
5,970331863,return
3,971023756,call
4,972029620,call
3,972038441,return
4,972881335,return
5,977023043,call
5,977677560,return
2,979025715,call
6,983026908,call
6,984267276,return
5,992022908,call
5,992925677,return
5,1001022241,call
2,1010510547,return
2,1010537405,call
2,1010701806,return
8,1019034971,call
4,1022023852,call
2,1029043312,call
1,1030024860,call
2,1030220995,return
6,1032028710,call
5,1032648913,return
5,1032675463,call
7,1035026523,call
5,1035204336,return
5,1035229521,call
5,1035376793,return
3,1039023926,call
5,1042022506,call
5,1042787021,return
8,1043128390,return
8,1043152739,call
8,1043314455,return
4,1053130648,return
4,1053156562,call
4,1053348449,return
7,1057225141,return
7,1057264954,call
1,1059360076,return
1,1059390322,call
7,1061048398,return
7,1061074806,call
7,1061266577,return
1,1064936901,return
1,1064961572,call
1,1065122718,return
6,1065417012,return
6,1065443034,call
6,1065604528,return
5,1066022746,call
5,1066997001,return
3,1068368110,return
3,1068395872,call
1,1070027472,call
1,1071004695,return
3,1071855842,return
3,1071881066,call
3,1072024751,return
7,1074029195,call
7,1075172051,return
1,1080032357,call
3,1080050360,call
3,1081082270,return
1,1082456039,return
5,1083023658,call
1,1083024186,call
7,1084024984,call
7,1084507201,return
7,1085028176,call
7,1085482534,return
5,1085678019,return
5,1085703722,call
5,1085858168,return
1,1085948453,return
8,1087024628,call
3,1087025849,call
3,1087542195,return
8,1088098428,return
3,1089033050,call
3,1089992918,return
4,1090034925,call
1,1090035708,call
4,1090921846,return
1,1092453106,return
7,1093027437,call
7,1093691002,return
1,1094035032,call
8,1096030717,call
1,1096939207,return
2,1097026295,call
3,1097033460,call
3,1097490719,return
4,1098022723,call
6,1098039850,call
2,1098293061,return
8,1098363191,return
1,1099023148,call
6,1099758200,return
7,1100024479,call
4,1100270914,return
7,1100563707,return
7,1101032990,call
7,1101516457,return
1,1101628137,return
8,1104022479,call
2,1104027768,call
8,1104877434,return
4,1105024198,call
3,1105025111,call
2,1105276766,return
3,1105578760,return
3,1106021006,call
4,1106127993,return
3,1106540477,return
6,1108028356,call
6,1109264145,return
8,1111023854,call
8,1111477329,return
2,1113024448,call
4,1114038977,call
4,1114460329,return
2,1115402744,return
6,1116023199,call
6,1118592299,return
1,1121034625,call
2,1121041080,call
2,1121785894,return
1,1123568846,return
6,1124021127,call
7,1124029126,call
6,1124535599,return
7,1124580668,return
5,1127021833,call
8,1128023331,call
5,1128240891,return
8,1129033269,return
4,1130024004,call
3,1130027750,call
3,1130552391,return
4,1131058857,return
8,1136035511,call
8,1136466689,return
8,1136491214,call
8,1136888390,return
2,1137021043,call
4,1138024698,call
2,1138396230,return
4,1138491438,return
4,1139034330,call
4,1139593023,return
6,1140020671,call
6,1140957709,return
8,1145026604,call
8,1145556262,return
2,1146020310,call
1,1146025792,call
2,1146033279,call
2,1146559767,return
2,1146684831,return
4,1147023313,call
4,1147419514,return
6,1148020002,call
6,1149042608,return
6,1149068248,call
6,1149341563,return
1,1149524875,return
7,1150044878,call
7,1150517128,return
8,1153019412,call
8,1153022195,call
8,1153430442,return
8,1153450930,return
2,1154024538,call
2,1154502170,return
3,1155026143,call
4,1155026580,call
3,1155513536,return
4,1155821210,return
4,1155846252,call
4,1156016542,return
6,1157037919,call
6,1157784706,return
2,1162023492,call
1,1162033197,call
2,1162506696,return
2,1163036444,call
2,1163492247,return
1,1164183013,return
1,1164207079,call
1,1164357747,return
6,1165044671,call
6,1165700180,return
6,1166022996,call
6,1166556126,return
7,1167036647,call
5,1167040125,call
5,1168167115,return
7,1169485068,return
7,1169510128,call
7,1169664746,return
3,1171028434,call
3,1173445026,return
3,1173468869,call
3,1173611937,return
8,1178033266,call
8,1178469371,return
4,1180023334,call
4,1180441930,return
2,1187049450,call
2,1187589808,return
6,1190063293,call
6,1190854201,return
8,1203033047,call
8,1203465231,return
4,1205023514,call
1,1205024086,call
4,1205421059,return
1,1206023044,return
7,1210033456,call
7,1211016046,return
2,1212038637,call
2,1212545335,return
3,1214038941,call
3,1214974300,return
6,1215026894,call
6,1215638810,return
5,1218033834,call
5,1218999274,return
8,1220036602,call
4,1222023383,call
8,1222391816,return
8,1222422639,call
8,1222570846,return
4,1223868085,return
4,1223892549,call
4,1224043521,return
5,1227021572,call
5,1228028890,return
2,1229035990,call
2,1231843927,return
2,1231869784,call
6,1232025846,call
2,1232032143,return
6,1235659358,return
5,1244033939,call
1,1245023877,call
5,1245096872,return
1,1246095140,return
7,1251023695,call
7,1252171173,return
5,1253021187,call
5,1253956279,return
3,1255030354,call
3,1256261106,return
5,1259021893,call
5,1260378348,return
8,1261022046,call
8,1262077041,return
4,1264032260,call
4,1264966604,return
5,1268035531,call
5,1269022854,return
2,1271045524,call
2,1272352096,return
6,1274037046,call
6,1275356187,return
5,1278024318,call
5,1278997580,return
5,1291061779,call
5,1292469368,return
5,1294021934,call
5,1295226319,return
1,1296025710,call
1,1297205045,return
7,1302049349,call
8,1303022382,call
7,1303268222,return
8,1303915461,return
5,1305030359,call
4,1305035070,call
1,1305036676,call
4,1305892056,return
1,1305962739,return
3,1306028950,call
5,1306073421,return
3,1307110113,return
7,1310021813,call
5,1310028969,call
7,1311043217,return
5,1311074254,return
2,1312037937,call
2,1313047114,return
3,1314022187,call
6,1315038594,call
6,1316118026,return
3,1316864812,return
1,1322024511,call
1,1323029188,return
7,1327021729,call
7,1327907175,return
3,1331024796,call
1,1332023497,call
3,1332184597,return
5,1333030760,call
1,1334099280,return
5,1334503776,return
7,1335029977,call
7,1335386506,return
1,1337023858,call
1,1337964077,return
3,1339035847,call
3,1339392655,return
7,1341024110,call
7,1342393458,return
3,1346023330,call
1,1346024468,call
3,1347048986,return
1,1348143069,return
5,1350055830,call
7,1351022742,call
7,1351416364,return
5,1353910227,return
5,1353948661,call
3,1354032133,call
8,1354034436,call
5,1354134113,return
3,1354530741,return
8,1354932114,return
4,1356022855,call
4,1356901687,return
1,1357023059,call
7,1359022720,call
7,1359393668,return
8,1362021877,call
8,1362983156,return
2,1363022655,call
2,1364010236,return
4,1364023724,call
3,1364031358,call
3,1364457915,return
4,1364914224,return
6,1365022942,call
6,1366220958,return
7,1368049296,call
7,1368739752,return
2,1371047735,call
3,1372048716,call
3,1372526817,return
2,1372978520,return
6,1374037502,call
7,1376035155,call
6,1376295467,return
7,1376420062,return
8,1379037735,call
3,1380035586,call
4,1380051474,call
8,1380074673,return
3,1380508029,return
1,1380683604,return
4,1381396073,return
1,1383034885,call
8,1386035212,call
8,1386447083,return
2,1388034503,call
4,1389021556,call
7,1389028282,call
2,1389211921,return
4,1389398502,return
7,1389545503,return
7,1391024345,call
6,1391031203,call
7,1391463544,return
6,1392317345,return
1,1392798883,return
1,1392826746,call
1,1392989998,return
3,1394040476,call
3,1394735182,return
8,1395035517,call
3,1396022860,call
8,1396031245,return
2,1396035562,call
3,1396425406,return
2,1396436779,return
4,1397023995,call
4,1397993031,return
6,1399033757,call
6,1399572705,return
5,1402035460,call
8,1403023978,call
5,1403244616,return
8,1403396204,return
2,1404022058,call
2,1404988837,return
4,1405034472,call
4,1405387323,return
6,1407023633,call
6,1408098321,return
2,1412021753,call
8,1412022534,call
1,1412028128,call
2,1412368484,return
8,1412389413,return
1,1413250077,return
4,1414023444,call
4,1414378497,return
6,1415028665,call
6,1415401034,return
7,1417038680,call
7,1418220293,return
8,1420034188,call
8,1420395453,return
2,1421036850,call
2,1421454630,return
4,1422024148,call
3,1422028294,call
4,1422440761,return
6,1423036445,call
3,1423318041,return
6,1423417052,return
8,1428023598,call
8,1428385173,return
1,1429035651,call
2,1429035918,call
2,1429581663,return
4,1430047265,call
4,1430512304,return
1,1431766884,return
1,1431793334,call
1,1431952848,return
6,1432039989,call
6,1432603598,return
7,1433034673,call
7,1433423710,return
5,1434037253,call
7,1435032195,call
5,1435282073,return
7,1436302395,return
2,1437024963,call
2,1437464058,return
3,1438025982,call
3,1439392143,return
3,1439418808,call
3,1439577860,return
6,1441023960,call
6,1441403608,return
8,1442022564,call
8,1442401284,return
8,1444022476,call
8,1444370307,return
4,1445046276,call
4,1445609933,return
4,1447022771,call
4,1447420038,return
6,1450040850,call
6,1450418060,return
2,1452037478,call
2,1452490692,return
2,1453023080,call
2,1453437767,return
6,1457045436,call
6,1457500039,return
8,1470062378,call
8,1471266746,return
4,1472036418,call
4,1473210672,return
2,1479028427,call
1,1480042242,call
2,1480178227,return
1,1481043160,return
6,1482023395,call
6,1483396844,return
7,1485024260,call
8,1486035060,call
7,1486113947,return
8,1486450186,return
8,1487021415,call
8,1487987507,return
4,1488036497,call
4,1488397612,return
4,1489030588,call
4,1489978873,return
3,1490023729,call
3,1491088044,return
5,1494049363,call
2,1495024234,call
5,1495184205,return
2,1495394798,return
2,1496033734,call
2,1497099999,return
6,1498024315,call
6,1498502028,return
6,1498526887,call
6,1499758723,return
5,1502025519,call
5,1503233560,return
5,1510021650,call
1,1511040527,call
5,1511211604,return
1,1512220413,return
7,1517024199,call
7,1518156462,return
5,1519044030,call
5,1520459882,return
3,1521025899,call
3,1522100997,return
5,1526045624,call
5,1527791390,return
5,1534037886,call
5,1535734995,return
8,1536022269,call
8,1537346402,return
4,1539038950,call
4,1539905998,return
5,1544033654,call
5,1545462852,return
2,1546112012,call
2,1547185276,return
6,1549022965,call
6,1550161278,return
5,1552025640,call
5,1553616597,return
5,1560028326,call
5,1561174126,return
8,1570020601,call
8,1570913296,return
1,1572028960,call
4,1572037859,call
4,1572901416,return
1,1572990231,return
5,1576037760,call
7,1577025280,call
5,1577898974,return
7,1578057922,return
2,1579034098,call
1,1580028341,call
2,1580050641,return
1,1580974381,return
3,1581025813,call
6,1582026775,call
3,1582082884,return
6,1583023756,return
5,1584037562,call
7,1585026530,call
5,1585359518,return
7,1586085585,return
1,1588021405,call
1,1588964929,return
3,1589024446,call
3,1590071422,return
7,1594035750,call
7,1595002020,return
1,1597034317,call
3,1598035007,call
1,1598500221,return
3,1599095191,return
5,1600024140,call
5,1601643293,return
7,1602040410,call
7,1604015707,return
1,1604031188,call
1,1604927789,return
3,1606031944,call
3,1607137022,return
7,1608024197,call
7,1609260300,return
1,1613024277,call
3,1613037524,call
3,1614224389,return
1,1614550017,return
5,1617053241,call
7,1618025265,call
7,1619447424,return
5,1620697357,return
5,1620723815,call
5,1620887239,return
3,1621033810,call
1,1622023201,call
3,1622435638,return
1,1623472459,return
7,1627024476,call
7,1628445942,return
8,1629024750,call
8,1630025261,return
3,1631025647,call
1,1631031630,call
4,1631038036,call
4,1631975701,return
3,1632306181,return
1,1632722730,return
7,1635020651,call
7,1636638377,return
8,1637023969,call
8,1637981460,return
2,1638025480,call
1,1639022873,call
3,1639025560,call
4,1639029903,call
2,1639101034,return
6,1640024364,call
4,1640028884,return
3,1640384070,return
