workerId,nanoTime,numTuples,destWorkerId
1,213967313,10000,1
1,273677712,158,6
1,292272902,161,5
1,309099337,144,7
1,325568627,157,8
1,358912187,194,2
1,425689408,8865,1
1,442259865,177,3
1,475594244,144,4
1,506545114,307,6
1,559106174,280,5
1,608960663,293,7
1,642105748,313,8
1,675511761,354,2
1,708853527,7801,1
1,742256879,313,3
1,775596646,339,4
1,818845534,384,6
1,842223444,1017,5
1,875676746,296,7
1,909012109,268,8
1,942406544,270,2
1,975706305,7111,1
1,1009122287,357,3
1,1042800377,297,4
1,1103467404,143,6
1,1126395052,2471,5
1,1159680112,163,7
1,1192974008,168,8
1,1226281861,150,2
1,1259660824,6604,1
1,1292966579,161,3
1,1326382470,140,4
1,1394645138,592,6
1,1426482993,2085,5
1,1459941887,687,7
1,1493279733,535,8
1,1526530775,783,2
1,1559926715,4061,1
1,1593320329,654,3
1,1626516092,603,4
1,1668830509,159,6
1,1693138498,3220,5
1,1726448103,147,7
1,1759876021,118,8
1,1793188671,165,2
1,1826552840,5847,1
1,1859839538,202,3
1,1893182527,142,4
1,1935305720,388,6
1,1959923606,1902,5
1,1993632250,443,7
1,2029123783,455,8
1,2063169763,438,2
1,2133527061,5564,1
1,2167013332,426,3
1,2200698099,384,4
1,2242880226,299,6
1,2267318926,4168,5
1,2300762605,296,7
1,2334131584,293,8
1,2367432373,329,2
1,2400767491,4005,1
1,2417422281,283,3
1,2450872129,327,4
1,2493878045,167,6
1,2517505887,5773,5
1,2556124470,188,7
1,2594231155,152,8
1,2632732591,143,2
1,2671487874,3121,1
1,2716115156,297,3
1,2779160491,159,4
1,2826865184,476,6
1,2851054560,3798,5
1,2889053793,474,7
1,2905847770,506,8
1,2927623981,439,2
1,2966232062,3272,1
1,3002270580,578,3
1,3040225596,457,4
1,3106803931,1297,6
1,3144049992,3869,5
1,3181452135,537,7
1,3357798528,527,8
1,3396306794,521,2
1,3434370450,2060,1
1,3472728385,695,3
1,3506157841,494,4
1,3550442513,316,6
1,3577658470,2412,5
1,3616266727,407,7
1,3638087652,322,8
1,3671486015,265,2
1,3709556966,325,1
1,3753371161,619,3
1,3768092848,334,4
3,192323075,10000,1
3,255499326,155,6
3,276098306,177,5
3,284400624,141,7
3,301153338,164,8
3,317842042,171,2
3,351067300,8884,1
3,367861510,182,3
3,417781595,126,4
3,468320316,271,6
3,567894694,277,5
3,601227304,293,7
3,634375364,320,8
3,667742604,340,2
3,701071660,7844,1
3,734546220,335,3
3,767903568,320,4
3,812256824,379,6
3,834504980,1044,5
3,867746402,288,7
3,901168242,270,8
3,934481930,281,2
3,967885016,7114,1
3,1001254627,343,3
3,1034886766,281,4
3,1096838896,138,6
3,1118574723,2450,5
3,1151883532,168,7
3,1185305429,160,8
3,1218622859,171,2
3,1251962821,6603,1
3,1285287128,168,3
3,1318641550,142,4
3,1362364394,592,6
3,1385266462,2079,5
3,1418496417,615,7
3,1451932859,541,8
3,1485182331,811,2
3,1518552675,4107,1
3,1551934115,647,3
3,1585317872,608,4
3,1629996732,174,6
3,1652087865,3217,5
3,1685307500,133,7
3,1718650647,118,8
3,1751943363,172,2
3,1785300215,5858,1
3,1818653782,187,3
3,1852092727,141,4
3,1896149846,439,6
3,1918681099,1893,5
3,1952062851,415,7
3,1985390365,453,8
3,2020028516,416,2
3,2055260459,5589,1
3,2106855638,422,3
3,2142459706,373,4
3,2170591402,310,6
3,2192519642,4147,5
3,2226382360,338,7
3,2259624585,278,8
3,2293012453,308,2
3,2326385796,4034,1
3,2359727160,292,3
3,2393033833,293,4
3,2437033967,164,6
3,2459574996,5760,5
3,2492976743,199,7
3,2526334504,143,8
3,2565176190,167,2
3,2581673424,3109,1
3,2619754052,304,3
3,2658424778,154,4
3,2707729763,483,6
3,2741696318,3800,5
3,2804819869,457,7
3,2843201640,465,8
3,2881396358,484,2
3,2914970543,3264,1
3,2953288721,587,3
3,2993413671,460,4
3,3041280278,1315,6
3,3070872412,3884,5
3,3123557323,510,7
3,3162681772,569,8
3,3223689289,524,2
3,3375060357,2022,1
3,3414805128,659,3
3,3451552829,517,4
3,3496695144,308,6
3,3523447119,2400,5
3,3561634278,383,7
3,3616763101,300,8
3,3655410333,285,2
3,3672098120,328,1
3,3710239069,625,3
3,3744071961,371,4
5,248126616,10000,1
5,304131535,166,6
5,332063853,183,5
5,365350091,154,7
5,382212670,159,8
5,398739350,181,2
5,432064170,8878,1
5,448723345,164,3
5,482094831,115,4
5,535817500,294,6
5,548639964,268,5
5,581990097,278,7
5,615486700,340,8
5,648703387,327,2
5,682043598,7834,1
5,715401781,333,3
5,748775377,326,4
5,792450120,380,6
5,815504417,1076,5
5,848754831,289,7
5,882195711,287,8
5,915588397,273,2
5,948979502,7101,1
5,982422738,332,3
5,1015888094,262,4
5,1076361460,150,6
5,1099474871,2465,5
5,1132828354,171,7
5,1166192881,168,8
5,1199485297,150,2
5,1232849053,6602,1
5,1266233346,157,3
5,1316148963,137,4
5,1360553308,575,6
5,1382908939,2133,5
5,1416287286,628,7
5,1449586857,557,8
5,1482933805,772,2
5,1516299303,4072,1
5,1549593929,685,3
5,1582925333,578,4
5,1627659863,171,6
5,1649543340,3215,5
5,1683088794,142,7
5,1716281202,123,8
5,1749618067,155,2
5,1783078378,5833,1
5,1816315717,211,3
5,1849561782,150,4
5,1893723353,412,6
5,1916799253,1928,5
5,1952209050,392,7
5,1986211713,458,8
5,2021130786,431,2
5,2056642255,5571,1
5,2090145716,419,3
5,2140635002,389,4
5,2184021926,293,6
5,2207218507,4141,5
5,2240612573,347,7
5,2273975114,301,8
5,2307321787,314,2
5,2340611999,4002,1
5,2373982095,287,3
5,2407285912,315,4
5,2474823392,153,6
5,2533976264,5773,5
5,2611236569,182,7
5,2721973517,157,8
5,2774242643,155,2
5,2829173344,3096,1
5,2907515313,311,3
5,2985122519,173,4
5,3047776811,455,6
5,3137837705,3794,5
5,3328916789,512,7
5,3404455905,463,8
5,3475911742,454,2
5,3549388190,3289,1
5,3624458364,573,3
5,3682695907,460,4
5,3768497694,1329,6
5,3818814127,3843,5
5,3878840674,559,7
5,3956874585,541,8
5,4028891170,526,2
5,4105950679,1993,1
5,4181536544,665,3
5,4246209437,544,4
5,4462089862,316,6
5,4473605809,2429,5
5,4494772055,387,7
5,4521709456,311,8
5,4551281007,289,2
5,4684754839,338,1
5,4714745219,586,3
5,4777703944,344,4
7,273545349,10000,1
7,320846009,157,6
7,339274030,171,5
7,372642055,131,7
7,405945593,171,8
7,439362350,173,2
7,472654942,8882,1
7,522653404,192,3
7,539329964,123,4
7,584610044,308,6
7,605944705,287,5
7,639364835,297,7
7,672536250,314,8
7,705941226,326,2
7,739327152,7819,1
7,772669120,318,3
7,806009988,331,4
7,849956731,382,6
7,872597339,1043,5
7,906015495,314,7
7,939339550,274,8
7,972741664,280,2
7,1006185353,7120,1
7,1039740682,311,3
7,1089984867,276,4
7,1134052600,157,6
7,1156724586,2472,5
7,1190067526,169,7
7,1223402587,144,8
7,1256763440,138,2
7,1290064837,6619,1
7,1323419615,144,3
7,1356793890,157,4
7,1401408601,554,6
7,1423439484,2092,5
7,1456783319,667,7
7,1490129818,515,8
7,1523405739,792,2
7,1556844664,4106,1
7,1590203201,678,3
7,1623527385,596,4
7,1668290619,193,6
7,1690228315,3219,5
7,1723550331,133,7
7,1756860876,121,8
7,1790173389,161,2
7,1823548223,5838,1
7,1856914482,186,3
7,1890254356,149,4
7,1934977733,414,6
7,1956887684,1896,5
7,1990809512,391,7
7,2024894844,461,8
7,2060185096,449,2
7,2111802008,5542,1
7,2147231636,432,3
7,2180618355,415,4
7,2225480441,315,6
7,2247883227,4143,5
7,2281099118,311,7
7,2314463109,302,8
7,2347848364,337,2
7,2381157335,4020,1
7,2414478406,287,3
7,2447796622,285,4
7,2491808740,152,6
7,2514496256,5772,5
7,2552357393,178,7
7,2569853071,152,8
7,2607839484,178,2
7,2646388504,3122,1
7,2685018920,278,3
7,2729835964,168,4
7,2805709587,471,6
7,2831397528,3798,5
7,2868142299,521,7
7,2902861246,468,8
7,2941500664,472,2
7,2980130299,3247,1
7,3019696596,578,3
7,3055846120,445,4
7,3131052324,1284,6
7,3159206169,3855,5
7,3220272220,544,7
7,3371515050,537,8
7,3411300266,520,2
7,3448233366,2041,1
7,3486811056,707,3
7,3520167582,512,4
7,3565177106,320,6
7,3591815701,2444,5
7,3631194233,386,7
7,3668714395,318,8
7,3706767033,266,2
7,3756936043,331,1
7,3795415055,601,3
7,3829969602,334,4
6,273149722,10000,1
6,341070060,167,6
6,389823226,171,5
6,422936965,152,7
6,456394993,158,8
6,489793163,185,2
6,523065541,8870,1
6,539780557,172,3
6,573113684,125,4
6,602848124,292,6
6,623073232,285,5
6,656492255,316,7
6,689856483,327,8
6,723154948,331,2
6,756436715,7820,1
6,789763628,342,3
6,823069515,287,4
6,867977866,385,6
6,889721158,1074,5
6,923261490,292,7
6,956562567,269,8
6,989820874,270,2
6,1031548497,7099,1
6,1081440479,327,3
6,1114774447,284,4
6,1159717046,144,6
6,1181587832,2476,5
6,1214862908,164,7
6,1248208362,159,8
6,1281568893,152,2
6,1315001369,6603,1
6,1348323876,149,3
6,1389933188,153,4
6,1434237518,585,6
6,1456603878,2104,5
6,1490086123,700,7
6,1523415202,547,8
6,1556705678,794,2
6,1590069321,4028,1
6,1623389632,659,3
6,1656671217,583,4
6,1701090506,169,6
6,1723227097,3217,5
6,1756676831,132,7
6,1790094464,129,8
6,1823432193,157,2
6,1856771931,5853,1
6,1890162605,200,3
6,1923463668,143,4
6,1984723452,425,6
6,2015172307,1896,5
6,2048475792,398,7
6,2098383033,456,8
6,2135948093,431,2
6,2173480236,5557,1
6,2206879367,442,3
6,2240222350,395,4
6,2304626454,310,6
6,2323548621,4145,5
6,2356938812,310,7
6,2390162000,283,8
6,2423508812,351,2
6,2456834372,4017,1
6,2490201275,265,3
6,2523491167,319,4
6,2567003800,155,6
6,2590227739,5765,5
6,2623674491,193,7
6,2657023031,139,8
6,2690393898,154,2
6,2723600156,3134,1
6,2756885677,300,3
6,2790228515,160,4
6,2833665648,451,6
6,2856947209,3839,5
6,2890305462,458,7
6,2923618330,469,8
6,2956981687,476,2
6,2990301566,3248,1
6,3023680019,607,3
6,3057060488,452,4
6,3117066103,1307,6
6,3140336378,3871,5
6,3173732928,564,7
6,3207034738,551,8
6,3240550342,510,2
6,3273849359,2021,1
6,3307126993,630,3
6,3340372258,546,4
6,3380578444,333,6
6,3423764579,2418,5
6,3457115894,393,7
6,3490527966,275,8
6,3523980753,271,2
6,3557190195,361,1
6,3590474241,599,3
6,3624042691,350,4
8,231471971,10000,1
8,282323179,167,6
8,301572442,174,5
8,334671046,125,7
8,384595552,166,8
8,417894763,182,2
8,451262091,8886,1
8,468042107,170,3
8,501429020,130,4
8,548060375,297,6
8,584759400,322,5
8,617968918,288,7
8,651347787,328,8
8,684794147,315,2
8,718059322,7807,1
8,751443548,337,3
8,784748886,306,4
8,828989052,386,6
8,851352823,1049,5
8,884845629,265,7
8,918212007,293,8
8,951447134,286,2
8,984733960,7099,1
8,1026385776,334,3
8,1076415221,288,4
8,1120088015,161,6
8,1143132156,2441,5
8,1176503281,153,7
8,1209817620,151,8
8,1243108188,144,2
8,1276506439,6646,1
8,1309848860,158,3
8,1343179570,146,4
8,1395351761,574,6
8,1418135088,2099,5
8,1451549615,626,7
8,1484908261,530,8
8,1518297314,767,2
8,1551653537,4124,1
8,1584912139,651,3
8,1618249437,629,4
8,1662349907,182,6
8,1685008452,3200,5
8,1718215351,144,7
8,1751623855,135,8
8,1784956283,174,2
8,1818308867,5834,1
8,1851659042,185,3
8,1885050128,146,4
8,1928902425,421,6
8,1976811716,1896,5
8,2010055214,392,7
8,2026766436,462,8
8,2060007899,445,2
8,2093460818,5562,1
8,2151750873,444,3
8,2185107175,378,4
8,2249726738,320,6
8,2268358076,4127,5
8,2301690695,309,7
8,2335121738,298,8
8,2368459628,318,2
8,2401829069,4029,1
8,2435170603,285,3
8,2468409549,314,4
8,2511440393,153,6
8,2535141887,5778,5
8,2568563697,177,7
8,2601888342,159,8
8,2635221345,152,2
8,2669091584,3105,1
8,2685201978,310,3
8,2718657366,166,4
8,2761825968,469,6
8,2785159905,3809,5
8,2818583934,471,7
8,2851928744,501,8
8,2885256865,491,2
8,2918582822,3246,1
8,2951936660,562,3
8,2985280074,451,4
8,3028762532,1308,6
8,3051922241,3844,5
8,3101973074,584,7
8,3135340922,534,8
8,3168704101,542,2
8,3202023291,2038,1
8,3235533330,662,3
8,3268768820,488,4
8,3309287508,327,6
8,3335480217,2427,5
8,3368727013,402,7
8,3402108797,286,8
8,3435447254,274,2
8,3468873842,329,1
8,3502207464,616,3
8,3535396586,339,4
4,273886648,10000,1
4,325977616,160,6
4,361192771,169,5
4,394579719,136,7
4,427897221,177,8
4,461066580,162,2
4,494400882,8890,1
4,527968744,173,3
4,561185217,133,4
4,594512439,285,6
4,627700605,288,5
4,661116567,320,7
4,694447248,302,8
4,727783938,321,2
4,761143850,7820,1
4,794473144,349,3
4,827812902,315,4
4,872074612,382,6
4,894561105,1056,5
4,927807179,289,7
4,961232438,263,8
4,994458981,287,2
4,1036133205,7129,1
4,1086271569,324,3
4,1119531883,270,4
4,1163220043,150,6
4,1186132960,2474,5
4,1219616048,128,7
4,1252885371,150,8
4,1286251658,167,2
4,1319590987,6620,1
4,1352970477,170,3
4,1394637076,141,4
4,1438574123,586,6
4,1461258598,2067,5
4,1494582654,677,7
4,1527939625,584,8
4,1561354713,779,2
4,1594640278,4047,1
4,1628012723,674,3
4,1661301482,586,4
4,1705358868,179,6
4,1728019554,3210,5
4,1761457928,137,7
4,1794729175,140,8
4,1828058182,157,2
4,1861352590,5837,1
4,1894698377,199,3
4,1928011815,141,4
4,1996728280,388,6
4,2019785827,1922,5
4,2069790423,402,7
4,2103140621,433,8
4,2153311903,460,2
4,2186519945,5579,1
4,2219919152,437,3
4,2253335833,379,4
4,2306085857,319,6
4,2328226454,4131,5
4,2361531974,315,7
4,2394963356,294,8
4,2411633272,334,2
4,2445026142,4066,1
4,2478272330,247,3
4,2511608486,294,4
4,2554833680,157,6
4,2578271543,5772,5
4,2611592253,181,7
4,2644992802,154,8
4,2694991585,166,2
4,2728328036,3113,1
4,2761616749,321,3
4,2795082939,136,4
4,2838073630,449,6
4,2861766616,3805,5
4,2895059064,502,7
4,2928463349,471,8
4,2961815836,464,2
4,2995082667,3251,1
4,3028448399,584,3
4,3078362889,474,4
4,3121439700,1324,6
4,3145077778,3883,5
4,3178421761,520,7
4,3211735249,544,8
4,3245125642,534,2
4,3278505460,2024,1
4,3311862452,656,3
4,3345200057,515,4
4,3385558315,329,6
4,3411857312,2413,5
4,3445159615,367,7
4,3478471661,334,8
4,3511858094,251,2
4,3545184352,351,1
4,3578635551,615,3
4,3612073017,340,4
2,280642707,10000,1
2,319925292,156,6
2,343739955,182,5
2,393807372,137,7
2,427108092,158,8
2,460505571,179,2
2,493911154,8881,1
2,543817737,178,3
2,560588378,129,4
2,601434016,280,6
2,627229310,260,5
2,660751221,323,7
2,693895734,325,8
2,727157295,333,2
2,760601906,7780,1
2,793887857,368,3
2,827200337,331,4
2,872569143,358,6
2,893827988,1055,5
2,927341061,283,7
2,960683911,264,8
2,993985158,292,2
2,1052333218,7121,1
2,1085744995,344,3
2,1118977221,283,4
2,1163474140,138,6
2,1185640601,2456,5
2,1219013515,155,7
2,1252374228,170,8
2,1285738842,138,2
2,1319191941,6628,1
2,1352514729,170,3
2,1394063954,145,4
2,1438757361,605,6
2,1460750781,2068,5
2,1494019396,684,7
2,1527337781,530,8
2,1560741233,779,2
2,1594188409,4090,1
2,1627504808,654,3
2,1660802754,590,4
2,1705423975,180,6
2,1727465495,3208,5
2,1760863333,143,7
2,1794199683,118,8
2,1827532106,178,2
2,1860853925,5840,1
2,1894088440,198,3
2,1927507997,135,4
2,1998238061,412,6
2,2019267727,1908,5
2,2052719656,423,7
2,2085862451,424,8
2,2119424833,420,2
2,2152573628,5592,1
2,2185918420,450,3
2,2219366278,371,4
2,2284423660,317,6
2,2311041330,4119,5
2,2344359060,329,7
2,2377691353,309,8
2,2411120524,302,2
2,2444486960,4015,1
2,2477698417,276,3
2,2527667911,333,4
2,2570780993,184,6
2,2594348054,5770,5
2,2627704759,176,7
2,2661015317,149,8
2,2694457635,149,2
2,2727817845,3110,1
2,2761031035,299,3
2,2794454685,163,4
2,2837298771,462,6
2,2861259519,3794,5
2,2894627331,485,7
2,2927892023,466,8
2,2961264528,493,2
2,2994597489,3260,1
2,3044555925,608,3
2,3077771487,432,4
2,3120707534,1282,6
2,3161136805,3884,5
2,3194455904,512,7
2,3227836139,513,8
2,3261184599,538,2
2,3294649216,2035,1
2,3327899337,715,3
2,3394516261,521,4
2,3434346941,318,6
2,3461230665,2409,5
2,3494550710,409,7
2,3527895029,291,8
2,3561258409,288,2
2,3594622401,319,1
2,3628123319,604,3
2,3661626899,362,4
